start_date,very_percentage,somewhat_percentage,not_very_percentage,not_at_all_percentage
2020-04-17,33.33333333333333,38.54166666666667,16.666666666666664,11.458333333333332
2020-04-16,43,35,17,5
2020-04-15,28.000000000000004,33,28.000000000000004,11
2020-04-15,41,35,18,6
2020-04-18,59.4059405940594,26.732673267326735,12.871287128712872,0.9900990099009901
2020-04-14,30.010070493454183,40.5840886203424,21.04733131923464,8.358509566968783
2020-04-21,35.01102867455384,41.05674754361339,15.79105674754361,8.14116703428915
2020-04-19,22,44,24,10
2020-04-16,31,32,26,11
2020-04-16,43,36,16,5
2020-04-20,33,40,18,9
2020-04-17,31,34,25,10
2020-04-17,44,37,15,4
2020-04-22,42,40,14.000000000000002,4
2020-04-20,29.7029702970297,36.633663366336634,24.752475247524753,8.91089108910891
2020-04-20,43,38,15,4
2020-04-21,29.7029702970297,35.64356435643564,27.722772277227726,6.9306930693069315
2020-04-21,42.57425742574257,36.633663366336634,16.831683168316832,3.9603960396039604
2020-04-18,27.995971802618325,43.403826787512585,19.335347432024168,9.264853977844913
2020-04-24,40,32.631578947368425,18.947368421052634,8.421052631578947
2020-04-24,30.208333333333332,36.45833333333333,19.791666666666664,13.541666666666666
2020-04-21,20,40,25,15
2020-04-20,12.871287128712872,42.57425742574257,32.67326732673268,11.881188118811881
2020-04-17,32.6530612244898,35.714285714285715,20.408163265306122,11.224489795918368
2020-04-24,34.375,36.45833333333333,16.666666666666664,12.5
2020-04-17,48.45360824742268,32.98969072164948,12.371134020618557,6.185567010309279
2020-04-22,28.999999999999996,35,28.999999999999996,7.000000000000001
2020-04-22,44.44444444444444,34.34343434343434,17.17171717171717,4.040404040404041
2020-04-21,29.162462159434916,41.27144298688194,20.484359233097884,9.081735620585269
2020-04-28,36.48730350665054,36.638452237001204,18.34945586457074,8.52478839177751
2020-04-26,21.782178217821784,41.584158415841586,26.732673267326735,9.900990099009901
2020-04-23,30.693069306930692,34.65346534653465,27.722772277227726,6.9306930693069315
2020-04-23,45,36,15,4
2020-04-24,31,35,26,8
2020-04-24,45.54455445544555,35.64356435643564,13.861386138613863,4.9504950495049505
2020-04-29,39.795918367346935,42.857142857142854,13.26530612244898,4.081632653061225
2020-04-27,31,34,27,8
2020-04-27,43.43434343434344,36.36363636363637,15.151515151515152,5.05050505050505
2020-04-28,29.292929292929294,41.41414141414141,17.17171717171717,12.121212121212121
2020-04-28,28.999999999999996,36,25,10
2020-04-28,43,35,16,6
2020-04-25,30.030333670374116,38.624873609706775,22.244691607684526,9.10010111223458
2020-05-01,43.56435643564357,21.782178217821784,24.752475247524753,9.900990099009901
2020-05-01,32.98969072164948,41.23711340206185,16.49484536082474,9.278350515463918
2020-05-01,29.591836734693878,36.734693877551024,19.387755102040817,14.285714285714285
2020-04-28,21,42,21,16
2020-04-27,11,38,36,15
2020-05-01,34.375,35.41666666666667,17.708333333333336,12.5
2020-05-01,33.33333333333333,37.37373737373738,20.2020202020202,9.090909090909092
2020-04-30,47.474747474747474,29.292929292929294,17.17171717171717,6.0606060606060606
2020-04-29,29.292929292929294,34.34343434343434,25.252525252525253,11.11111111111111
2020-04-30,42,28.000000000000004,14.000000000000002,16
2020-04-29,43.56435643564357,32.67326732673268,16.831683168316832,6.9306930693069315
2020-04-28,30.776992936427856,40.867810292633706,20.28254288597377,8.072653884964682
2020-05-05,36.653266331658294,38.5427135678392,16.130653266331663,8.673366834170857
2020-05-03,24,42,25,9
2020-05-02,16.161616161616163,37.37373737373738,28.28282828282828,18.181818181818183
2020-04-30,31,32,26,11
2020-04-30,44,32,18,6
2020-05-01,32,32,26,10
2020-05-01,44.554455445544555,32.67326732673268,15.841584158415841,6.9306930693069315
2020-05-06,35,42,17,6
2020-05-04,31.313131313131315,34.34343434343434,25.252525252525253,9.090909090909092
2020-05-04,43.43434343434344,35.35353535353536,16.161616161616163,5.05050505050505
2020-05-05,29.7029702970297,35.64356435643564,24.752475247524753,9.900990099009901
2020-05-05,44.44444444444444,34.34343434343434,16.161616161616163,5.05050505050505
2020-05-02,31.91919191919192,40.303030303030305,18.98989898989899,8.787878787878787
2020-05-08,34.73684210526316,36.84210526315789,20,8.421052631578947
2020-05-08,26.53061224489796,38.775510204081634,19.387755102040817,15.306122448979592
2020-05-05,22.22222222222222,36.36363636363637,24.242424242424242,17.17171717171717
2020-05-04,11,42,34,13
2020-05-08,29.591836734693878,38.775510204081634,18.367346938775512,13.26530612244898
2020-05-06,30,33,26,11
2020-05-06,42.57425742574257,34.65346534653465,16.831683168316832,5.9405940594059405
2020-05-05,31.313131313131308,35.75757575757575,21.41414141414141,11.515151515151514
2020-05-12,33.8494018296974,39.72051874937167,16.52759626017895,9.902483160751984
2020-05-10,24,40,25,11
2020-05-07,27.722772277227726,34.65346534653465,26.732673267326735,10.891089108910892
2020-05-07,42,36,16,6
2020-05-11,32.323232323232325,40.4040404040404,18.181818181818183,9.090909090909092
2020-05-08,30,35,24,11
2020-05-08,44.554455445544555,33.663366336633665,14.85148514851485,6.9306930693069315
2020-05-13,35.64356435643564,42.57425742574257,16.831683168316832,4.9504950495049505
2020-05-13,22,36,25,17
2020-05-11,30.693069306930692,35.64356435643564,22.772277227722775,10.891089108910892
2020-05-11,45,34,14.000000000000002,7.000000000000001
2020-05-12,35,32,21,12
2020-05-12,46,32,15,7.000000000000001
2020-05-09,28.74371859296482,37.78894472361809,21.00502512562814,12.462311557788945
2020-05-15,48.484848484848484,22.22222222222222,20.2020202020202,9.090909090909092
2020-05-15,35.051546391752574,41.23711340206185,16.49484536082474,7.216494845360824
2020-05-15,28.125,35.41666666666667,20.833333333333336,15.625
2020-05-11,9.900990099009901,40.5940594059406,33.663366336633665,15.841584158415841
2020-05-15,30.526315789473685,37.89473684210527,18.947368421052634,12.631578947368421
2020-05-14,42.857142857142854,31.63265306122449,18.367346938775512,7.142857142857142
2020-05-14,45,32,15,8
2020-05-15,28.28282828282828,35.35353535353536,26.262626262626267,10.1010101010101
2020-05-15,41,35,17,7.000000000000001
2020-05-17,21,41,25,13
2020-05-12,28.585757271815442,38.61584754262788,22.26680040120361,10.531594784353059
2020-05-19,30.25227043390515,38.83955600403633,20.353178607467207,10.554994954591324
2020-05-18,45,32,21,2
2020-05-17,35.35353535353536,36.36363636363637,18.181818181818183,10.1010101010101
2020-05-20,36,42,15,7.000000000000001
2020-05-16,27.738693467336685,37.58793969849246,24.92462311557789,9.748743718592964
2020-05-22,33.33333333333333,35.41666666666667,21.875,9.375
2020-05-18,9,43,34,14.000000000000002
2020-05-22,26.53061224489796,37.755102040816325,19.387755102040817,16.3265306122449
2020-05-21,30,36,25,9
2020-05-22,31.63265306122449,37.755102040816325,15.306122448979592,15.306122448979592
2020-05-21,44,35,15,6
2020-05-19,26.713709677419356,37.29838709677419,25.70564516129032,10.282258064516128
2020-05-26,34.921271687894894,36.345401664827996,19.22575468859693,9.507571958680172
2020-05-23,24,40,25,11
2020-05-21,26.262626262626267,38.38383838383838,22.22222222222222,13.131313131313133
2020-05-25,30.612244897959183,33.6734693877551,22.448979591836736,13.26530612244898
2020-05-23,24.84848484848485,36.666666666666664,27.67676767676768,10.808080808080806
2020-05-29,30.208333333333332,37.5,21.875,10.416666666666668
2020-05-29,25.773195876288657,34.02061855670103,21.649484536082475,18.556701030927837
2020-05-25,9.090909090909092,38.38383838383838,36.36363636363637,16.161616161616163
2020-05-29,26.804123711340207,37.11340206185567,19.587628865979383,16.49484536082474
2020-05-29,30.303030303030305,39.39393939393939,19.19191919191919,11.11111111111111
2020-05-28,28.28282828282828,31.313131313131315,28.28282828282828,12.121212121212121
2020-05-28,38,34,21,7.000000000000001
2020-05-28,37.37373737373738,32.323232323232325,14.14141414141414,16.161616161616163
2020-05-28,25.510204081632654,38.775510204081634,24.489795918367346,11.224489795918368
2020-05-26,23.00706357214934,39.55600403632694,25.126135216952573,12.310797174571137
2020-05-31,20.2020202020202,38.38383838383838,28.28282828282828,13.131313131313133
2020-06-01,14.000000000000002,37,20,28.999999999999996
2020-05-21,22,38,28.000000000000004,12
2020-05-30,23.819095477386938,37.788944723618094,24.020100502512566,14.371859296482414
2020-06-05,27.083333333333332,37.5,23.958333333333336,11.458333333333332
2020-06-05,23.958333333333336,34.375,22.916666666666664,18.75
2020-06-01,8,39,35,18
2020-06-05,25,37.5,19.791666666666664,17.708333333333336
2020-06-04,26,33,25,16
2020-06-04,36.633663366336634,33.663366336633665,19.801980198019802,9.900990099009901
2020-06-02,26.57973921765296,35.0050150451354,24.072216649949848,14.343029087261785
2020-06-09,24.97987927565392,38.74245472837022,22.6056338028169,13.672032193158953
2020-06-07,20,38,28.000000000000004,14.000000000000002
2020-06-10,28.000000000000004,41,23,8
2020-06-06,26.39593908629442,38.3756345177665,22.74111675126904,12.487309644670052
2020-06-12,30.208333333333332,38.54166666666667,19.791666666666664,11.458333333333332
2020-06-12,27.083333333333332,35.41666666666667,19.791666666666664,17.708333333333336
2020-06-08,8.91089108910891,39.603960396039604,33.663366336633665,17.82178217821782
2020-06-11,32.323232323232325,36.36363636363637,22.22222222222222,9.090909090909092
2020-06-11,36,33,15,16
2020-06-11,30,30,26,14.000000000000002
2020-06-11,39,33,18,10
2020-06-12,45.54455445544555,26.732673267326735,26.732673267326735,0.9900990099009901
2020-06-09,24.947807933194156,37.36951983298538,24.634655532359083,13.048016701461378
2020-06-14,21,38,28.000000000000004,13
2020-06-19,23.958333333333336,36.45833333333333,21.875,17.708333333333336
2020-06-15,8.91089108910891,38.613861386138616,34.65346534653465,17.82178217821782
2020-06-19,31.958762886597935,39.175257731958766,18.556701030927837,10.309278350515463
2020-06-18,28.000000000000004,30,27,15
2020-06-18,37.37373737373738,32.323232323232325,21.21212121212121,9.090909090909092
2020-06-23,28.85966673358763,39.32945191728569,19.012246536839992,12.798634812286688
2020-06-21,22,38,27,13
2020-06-24,33.663366336633665,42.57425742574257,18.81188118811881,4.9504950495049505
